,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,mazagao,96,RU,1639785713,99,59.7035,30.7861,272.09,1.31
1,mazagao,97,SO,1639785714,67,3.8093,43.2471,297.87,5.15
2,mazagao,0,LY,1639785714,53,27.0377,14.4283,283.09,3.45
3,mazagao,89,KZ,1639785715,86,48.8264,58.1442,268.24,2.34
4,mazagao,16,RE,1639785716,76,-21.3667,55.6167,295.36,1.3
5,mazagao,96,CA,1639785717,100,55.1001,-105.2842,246.6,1.01
6,mazagao,37,PT,1639785717,68,32.6667,-17.1,291.5,4.4
7,mazagao,99,HK,1639785465,64,22.2855,114.1577,290.55,0.45
8,mazagao,88,ID,1639785719,91,-3.8004,102.2655,297.28,3.55
9,mazagao,12,MU,1639785719,76,-20.3428,57.7575,297.16,2.5
10,mazagao,16,KI,1639785720,78,3.0707,172.7902,301.1,8.52
11,mazagao,90,TO,1639785721,81,-21.2,-175.2,300.76,7.11
12,mazagao,26,IQ,1639785722,66,34.6071,43.6782,286.72,2.69
13,mazagao,100,CA,1639785722,93,54.7682,-101.865,253.57,2.09
14,mazagao,100,PT,1639785724,53,38.5167,-28.7,288.81,5.02
15,mazagao,86,US,1639785455,57,42.6001,-73.9662,279.62,4.78
16,mazagao,63,AU,1639785725,50,-33.8667,121.9,292.03,8.43
17,mazagao,100,ID,1639785726,95,-1.6,103.6167,296.64,0.79
18,mazagao,100,CA,1639785726,74,54.2331,-125.7533,261.87,0.87
19,mazagao,0,ZA,1639785461,65,-33.9258,18.4232,291.54,1.34
20,mazagao,1,US,1639785728,58,42.2506,-75.833,279.18,0.45
21,mazagao,45,NA,1639785728,89,-26.6481,15.1594,289.45,5.81
22,mazagao,79,FO,1639785730,82,62.2266,-6.589,281.66,6.89
23,mazagao,1,AU,1639785730,65,-24.8667,113.6333,294.48,8.57
24,mazagao,75,AR,1639785521,76,-54.8,-68.3,283.96,9.77
25,mazagao,99,CA,1639785732,98,69.4541,-133.0374,249.65,3.13
26,mazagao,9,BS,1639785642,72,24.9,-76.2,298.73,8.49
27,mazagao,20,CA,1639785542,75,62.456,-114.3525,242.2,4.63
28,mazagao,1,US,1639785603,45,19.7297,-155.09,301.08,4.62
29,mazagao,64,PG,1639785735,75,-6.3164,155.4848,299.83,1.58
30,mazagao,98,AU,1639785735,72,-33.65,115.3333,291.53,9.37
31,mazagao,7,PF,1639785736,72,-9.8,-139.0333,298.9,4.67
32,mazagao,72,LR,1639785614,86,6.3005,-10.7969,300.1,2.51
33,mazagao,1,US,1639785737,83,42.097,-79.2353,275.77,0.89
34,mazagao,41,NZ,1639785644,42,-45.8742,170.5036,289.71,6.26
35,mazagao,1,US,1639785739,70,34.6391,-120.4579,291.31,2.57
36,mazagao,1,US,1639785740,49,37.1041,-113.5841,281.07,1.54
37,mazagao,14,ZA,1639785667,74,-33.918,25.5701,289.32,8.51
38,mazagao,0,GL,1639785741,68,61.994,-49.6678,261.31,4.86
39,mazagao,100,US,1639785742,95,38.6103,-89.3726,276.61,4.06
40,mazagao,32,CA,1639785614,92,55.2834,-114.769,251.92,3.01
41,mazagao,99,PF,1639785743,76,-23.1203,-134.9692,297.54,7.05
42,mazagao,94,US,1639785549,35,41.3712,-73.414,284.53,2.85
43,mazagao,53,CL,1639785744,66,-53.15,-70.9167,285.99,1.98
44,mazagao,0,ES,1639785745,79,28.6585,-17.9182,287.01,2.68
45,mazagao,61,NZ,1639785746,45,-46.1927,168.8643,286.75,5.27
46,mazagao,1,US,1639785807,74,40.5982,-124.1573,284.21,0.89
47,mazagao,38,CK,1639785807,70,-21.2078,-159.775,302.18,4.63
48,mazagao,100,CA,1639785808,99,60.7522,-137.5108,257.24,0.21
49,mazagao,33,NZ,1639785809,62,-46.2817,169.8464,286.44,6.79
50,mazagao,56,BR,1639785810,92,-22.9661,-42.0278,297.32,2.59
51,mazagao,100,RU,1639785810,88,65.5833,-171,258.26,4.92
52,mazagao,99,MY,1639785811,91,3.1667,113.0333,298.3,1.47
53,mazagao,62,SS,1639785813,31,9.2333,29.8333,296.72,2.35
54,mazagao,100,RU,1639785814,92,63.05,179.3167,254.38,6.69
55,mazagao,96,BO,1639785814,67,-17.7167,-66.2667,289.15,2.09
56,mazagao,84,CG,1639785815,96,-2.5447,14.7533,292.3,1.81
57,mazagao,1,US,1639785816,30,42.207,-71.6856,283.3,7.72
58,mazagao,75,RU,1639785816,67,53.0452,158.6483,261.48,4
59,mazagao,3,CL,1639785817,73,-29.9533,-71.3436,290.51,2.75
60,mazagao,100,US,1639785818,82,34.4001,-96.0169,294.9,4.83
61,mazagao,89,MV,1639785819,74,-0.6,73.0833,300.91,2.45
62,mazagao,40,MY,1639785560,94,5.4112,100.3354,298.65,2.68
63,mazagao,44,PT,1639785820,64,41.5388,-8.6151,283.23,2.29
64,mazagao,100,BR,1639785821,89,-15.35,-48.5,295,1.4
65,mazagao,0,AR,1639785570,88,-38.0023,-57.5575,295.98,0.89
66,mazagao,75,MX,1639785822,74,16.8634,-99.8901,301.05,3.09
67,mazagao,100,CA,1639785615,77,50.6996,-127.4199,278.01,11.44
68,mazagao,97,ID,1639785823,77,0.8,127.4,301.38,1.82
69,mazagao,100,ID,1639785824,82,-6.8844,112.2051,300.53,1.75
70,mazagao,98,GL,1639785825,94,77.484,-69.3632,248.42,2.67
71,mazagao,22,NU,1639785825,82,-19.0595,-169.9187,299.84,6.57
72,mazagao,100,AU,1639785827,25,-42.7826,147.0587,306.29,1.79
73,mazagao,100,VN,1639785827,90,9.285,105.7244,297.19,1.93
74,mazagao,94,BR,1639785829,89,-5.29,-44.49,297.76,1.29
75,mazagao,98,TL,1639785830,57,-8.9266,125.4092,295.4,0.54
76,mazagao,100,GB,1639785713,97,51.7522,-1.256,281.9,0.89
77,mazagao,90,RU,1639785831,99,53.1333,132.9,235.91,1.22
78,mazagao,75,US,1639785540,88,45.5234,-122.6762,281.18,0.45
79,mazagao,0,ZA,1639785832,75,-34.5322,20.0403,288.31,9.09
80,mazagao,6,MU,1639785833,77,-20.0064,57.6608,297.25,2.98
81,mazagao,100,SB,1639785834,77,-8.103,156.8419,301.26,2.6
82,mazagao,100,ID,1639785834,100,-0.6876,100.9537,295.37,1.16
83,mazagao,4,AU,1639785564,53,-34.7333,135.8667,294.3,0.78
84,mazagao,71,BR,1639785678,96,-24.7911,-50.0119,291.75,4.88
85,mazagao,19,KZ,1639785836,42,41.2547,67.9692,278.47,4.03
86,mazagao,33,PF,1639785837,68,-16.4833,-151.75,300.73,5.81
87,mazagao,90,US,1639785838,94,32.3502,-85.1999,292.57,0
88,mazagao,80,TD,1639785839,28,11.7833,17.1667,293.91,5.87
89,mazagao,59,IN,1639785839,58,13.9667,74.5667,296.76,3.61
90,mazagao,26,PL,1639785650,89,53.2779,16.4712,275.99,2.76
91,mazagao,58,IN,1639785840,78,11.6667,92.75,297.09,3.99
92,mazagao,0,ZA,1639785841,74,-34.4187,19.2345,288.6,8.76
93,mazagao,97,RU,1639785902,97,59.2667,32.85,267.49,1.55
94,mazagao,44,CN,1639785629,27,36.0889,111.5189,271.27,2.52
95,mazagao,74,NZ,1639785903,46,-45.4167,167.7167,288.57,2.98
96,mazagao,0,AU,1639785620,34,-42.8794,147.3294,306.49,1.34
97,mazagao,100,GL,1639785904,45,69.2167,-51.1,265.16,3.09
98,mazagao,90,US,1639785905,71,45.0205,-93.218,267.11,0.89
99,mazagao,40,PF,1639785906,58,-17.5065,-149.489,304.02,5.14
100,mazagao,64,NG,1639785907,27,8.9167,6.4,295.69,1.81
101,mazagao,20,HT,1639785907,67,19.1082,-72.6938,299.33,2.6
102,mazagao,100,ZA,1639785909,74,-27.7832,24.6877,291.63,6.84
103,mazagao,100,NO,1639785909,92,70.3705,31.1107,272.26,10.08
104,mazagao,90,US,1639785675,70,71.2906,-156.7887,250.16,9.77
105,mazagao,68,IR,1639785911,70,27.1467,57.0801,292.56,2.01
106,mazagao,75,HR,1639785912,82,45.8564,15.8078,274.78,0.92
107,mazagao,1,US,1639785913,80,42.8711,-97.3973,272.29,3.09
108,mazagao,100,CN,1639785913,49,24.6774,116.1389,283.63,1.78
109,mazagao,6,PE,1639785914,82,-10.0681,-78.1522,293.88,4.94
110,mazagao,100,PT,1639785915,72,37.7167,-25.4333,287.15,0.85
111,mazagao,1,US,1639785915,45,41.1239,-100.7654,277.18,3.13
112,mazagao,100,JP,1639785916,88,43.3236,145.575,268.39,14.06
113,mazagao,20,GL,1639785917,81,65.6145,-37.6368,270.24,2.88
114,mazagao,100,IS,1639785918,80,64.8945,-23.7142,278,1.75
115,mazagao,100,BR,1639785919,98,-9.1667,-60.6333,296.43,0.42
116,mazagao,85,RU,1639785920,99,69.3,139.9,236.19,1.41
117,mazagao,19,IN,1639785921,53,18.4667,75.6667,290.18,2.68
118,mazagao,32,IN,1639785921,71,10.5669,72.642,300.99,5.13
119,mazagao,90,CA,1639785922,86,50.2334,-63.5986,274.35,10.29
120,mazagao,99,ML,1639785923,17,20,-3,297.2,3.66
121,mazagao,95,IR,1639785924,33,32.31,54.0175,284.68,0.52
122,mazagao,100,VN,1639785925,88,13.0833,109.3,296.1,7.67
123,mazagao,100,SB,1639785926,84,-8.7676,160.7034,300.36,0.4
124,mazagao,1,PK,1639785902,30,24.9056,67.0822,286.05,2.06
125,mazagao,100,RU,1639785927,97,67.6333,134.6333,236.95,0.65
126,mazagao,99,MX,1639785928,60,30.4833,-115.95,289.18,2.62
127,mazagao,100,RU,1639785928,90,50.6789,156.125,271.22,15.47
128,mazagao,100,CA,1639785929,88,65.282,-126.8329,250.38,2.69
129,mazagao,79,ZA,1639785930,79,-33.5906,26.891,289.14,9.55
130,mazagao,1,US,1639785931,74,57.79,-152.4072,268.88,2.06
131,mazagao,88,EC,1639785931,94,-0.7393,-90.3518,294.01,1.34
132,mazagao,100,IS,1639785932,90,63.4427,-20.2734,282.04,7.53
133,mazagao,1,GL,1639785933,66,60.7167,-46.0333,262.43,3.36
134,mazagao,39,SO,1639785934,76,7.9803,49.8164,296.67,7.93
135,mazagao,99,RU,1639785934,97,46.8333,40.75,277.78,1
136,mazagao,99,SB,1639785935,72,-10.4544,161.9205,302.44,3.32
137,mazagao,30,GF,1639785936,88,5.3833,-52.95,298.84,3.24
138,mazagao,100,RU,1639785937,95,46.4856,135.8833,246.19,1.78
139,mazagao,100,RU,1639785937,100,66,111.5,235.06,2.49
140,mazagao,26,CU,1639785938,83,20.3467,-74.4958,298.35,5.14
141,mazagao,1,US,1639785999,43,41.762,-72.742,284.07,2.57
142,mazagao,75,US,1639785999,77,22.0752,-159.319,300.14,0.89
143,mazagao,100,RU,1639786000,96,69.7008,170.3133,250.65,1.59
144,mazagao,97,LK,1639786001,86,6.1241,81.1185,297.7,3.1
145,mazagao,100,BW,1639786002,79,-23.4,21.7167,291.92,3.89
146,mazagao,57,CL,1639786003,52,-27.3667,-70.3333,294.59,2.02
147,mazagao,69,GH,1639786003,83,5.3511,-0.6231,299.83,3.82
148,mazagao,97,TZ,1639786004,89,-4.0167,35.7667,292.45,1.02
149,mazagao,100,PT,1639786005,53,39.05,-27.9833,288.28,2.99
150,mazagao,98,BR,1639786005,91,-0.1833,-50.05,298.43,2.79
151,mazagao,63,CD,1639786006,93,-6.4667,16.8167,293.82,0.26
152,mazagao,82,RU,1639786007,100,63.4564,48.8989,252.51,1.5
153,mazagao,10,RU,1639786008,83,49.5776,111.9753,255.18,1.6
154,mazagao,58,GR,1639786009,72,37.9407,22.9573,283.65,1.52
155,mazagao,82,NZ,1639786009,64,-46.6,168.3333,286.93,10.84
156,mazagao,42,JP,1639786010,39,35.7333,140.8333,276.37,14.05
157,mazagao,100,RU,1639786011,97,59.9445,54.9977,267.12,1.84
158,mazagao,95,MY,1639786012,96,2.3,111.8167,297.49,0.44
159,mazagao,24,IN,1639785902,47,30.9719,76.9933,276.84,2.73
160,mazagao,1,MX,1639785834,65,15.85,-97.0667,302.61,2.57
161,mazagao,99,NO,1639786015,92,70.9963,24.6622,275.64,10.63
162,mazagao,84,NZ,1639786016,54,-46.1333,167.6833,286.94,5.92
